dataset_name,dataset_description,trial_idx,trial_seed,trial_key,num_agents,row_count,error_count,tp,fp,fn,precision,recall,f1_score,accuracy_by_label,e2e_ms,t_inf_ms,delta_sync_ms,c_tax_ms
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",7,1049,chat_transcripts::7,3,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",14.048659999999913,12.938429999999457,13.036825000000363,1.1102300000004561
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",7,1049,chat_transcripts::7,4,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",28.329090000000434,26.73369500000042,27.321899999999392,1.5953950000000106
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",7,1049,chat_transcripts::7,5,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",29.59414000000038,26.440424999999124,28.559704999999987,3.153715000001256
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",8,1050,chat_transcripts::8,1,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",0.7432600000001344,0.1095849999998677,0.0,0.6336750000002667
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",8,1050,chat_transcripts::8,2,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",11.665590000000492,10.677159999999475,10.759599999999736,0.9884300000010171
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",8,1050,chat_transcripts::8,3,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",14.330545000000328,13.224470000000466,13.323924999999903,1.106074999999862
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",8,1050,chat_transcripts::8,4,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",28.5199249999998,26.865249999999822,27.548125000000567,1.6546749999999832
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",8,1050,chat_transcripts::8,5,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",29.3998349999999,26.338394999999434,28.31204499999985,3.0614400000004593
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",9,1051,chat_transcripts::9,1,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",0.7800700000004213,0.11053500000031136,0.0,0.6695350000001099
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",9,1051,chat_transcripts::9,2,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",10.482994999999917,9.6081450000014,9.681120000000476,0.8748499999985171
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",9,1051,chat_transcripts::9,3,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",13.593649999999613,12.559705000001387,12.654024999999791,1.0339449999982264
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",9,1051,chat_transcripts::9,4,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",28.056074999998874,26.32644000000184,26.992975000000996,1.7296349999970317
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",9,1051,chat_transcripts::9,5,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",22.138135000000148,19.71677999999919,21.21518999999914,2.4213550000009576
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",10,1052,chat_transcripts::10,1,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",0.8132149999990901,0.10362499999914121,0.0,0.7095899999999489
chat_transcripts,"Conversation-style text with names, emails, phones, and usernames.",10,1052,chat_transcripts::10,2,20,0,0,0,0,0.0,0.0,0.0,"{'overall': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'tp': 0, 'fp': 0, 'fn': 0}, 'per_label': {}}",11.531320000000278,10.579574999999508,10.65642500000088,0.9517450000007699
